"STATISTIC","Statistic","TLIST(Q1)","Quarter","C01855V02284","Port","C01713V02044","Region of Trade","UNIT","VALUE"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4101"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1805"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","128"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","197"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","5","Coastal trade","000 Tonnes","24"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2695"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","348"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","924"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","88"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1211"
"TBQ05C01","Goods Handled","20172","2017Q2","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","124"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","-","All regions of trade","000 Tonnes","2089"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","431"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","722"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","417"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","408"
"TBQ05C01","Goods Handled","20172","2017Q2","IEORK","Cork","5","Coastal trade","000 Tonnes","112"
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","-","All regions of trade","000 Tonnes","562"
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","444"
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","118"
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","-","All regions of trade","000 Tonnes","397"
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4"
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","305"
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","17"
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","72"
"TBQ05C01","Goods Handled","20172","2017Q2","IEWAT","Waterford","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12697"
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5866"
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4010"
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","630"
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","1916"
"TBQ05C01","Goods Handled","20173","2017Q3","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","275"
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","277"
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","94"
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","79"
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","105"
"TBQ05C01","Goods Handled","20173","2017Q3","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","281"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","85"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","175"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","12"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","6"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","3"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6315"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4267"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1745"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","91"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","151"
"TBQ05C01","Goods Handled","20173","2017Q3","IEDUB","Dublin","5","Coastal trade","000 Tonnes","61"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2673"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","436"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","884"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","97"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1146"
"TBQ05C01","Goods Handled","20173","2017Q3","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","110"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","-","All regions of trade","000 Tonnes","2260"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","532"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","769"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","390"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","467"
"TBQ05C01","Goods Handled","20173","2017Q3","IEORK","Cork","5","Coastal trade","000 Tonnes","102"
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","-","All regions of trade","000 Tonnes","542"
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","442"
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","100"
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","-","All regions of trade","000 Tonnes","350"
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","11"
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","258"
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","40"
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","42"
"TBQ05C01","Goods Handled","20173","2017Q3","IEWAT","Waterford","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","13061"
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5724"
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4335"
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","646"
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","2073"
"TBQ05C01","Goods Handled","20174","2017Q4","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","282"
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","238"
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","102"
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","135"
"TBQ05C01","Goods Handled","20174","2017Q4","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","397"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","86"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","267"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","18"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","23"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","2"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6412"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","4157"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1854"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","72"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","262"
"TBQ05C01","Goods Handled","20174","2017Q4","IEDUB","Dublin","5","Coastal trade","000 Tonnes","66"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2788"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","406"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","939"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","114"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1243"
"TBQ05C01","Goods Handled","20174","2017Q4","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","88"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","-","All regions of trade","000 Tonnes","2274"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","652"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","732"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","432"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","332"
"TBQ05C01","Goods Handled","20174","2017Q4","IEORK","Cork","5","Coastal trade","000 Tonnes","126"
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","-","All regions of trade","000 Tonnes","534"
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","416"
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","118"
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","-","All regions of trade","000 Tonnes","418"
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","6"
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","324"
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","10"
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","78"
"TBQ05C01","Goods Handled","20174","2017Q4","IEWAT","Waterford","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12869"
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5130"
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4458"
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","871"
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","1972"
"TBQ05C01","Goods Handled","20181","2018Q1","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","438"
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","111"
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","34"
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","76"
"TBQ05C01","Goods Handled","20181","2018Q1","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","327"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","90"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","217"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","6"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","6"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","9"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6255"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","3830"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1897"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","173"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","213"
"TBQ05C01","Goods Handled","20181","2018Q1","IEDUB","Dublin","5","Coastal trade","000 Tonnes","141"
"TBQ05C01","Goods Handled","20181","2018Q1","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","2920"
"TBQ05C01","Goods Handled","20181","2018Q1","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","316"
"TBQ05C01","Goods Handled","20181","2018Q1","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","1156"
"TBQ05C01","Goods Handled","20181","2018Q1","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","229"
"TBQ05C01","Goods Handled","20181","2018Q1","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1098"
